prob_mode: enumerate
Total key combinations (2^6): 64
Zero-solution keys: 8
------------------------------
Raw counts:
  (0, 0, 1, 0, 1, 0): count=512, weight=9.600000e+01
  (0, 1, 1, 0, 0, 0): count=512, weight=9.600000e+01
  (0, 1, 0, 0, 0, 1): count=512, weight=9.600000e+01
  (0, 0, 0, 0, 1, 1): count=512, weight=9.600000e+01
  (1, 0, 0, 1, 1, 1): count=512, weight=9.600000e+01
  (1, 1, 0, 1, 0, 1): count=512, weight=9.600000e+01
  (1, 1, 1, 1, 0, 0): count=512, weight=9.600000e+01
  (1, 0, 1, 1, 1, 0): count=512, weight=9.600000e+01
  (0, 0, 0, 1, 1, 0): count=512, weight=2.880000e+02
  (0, 1, 0, 1, 0, 0): count=512, weight=2.880000e+02
  (0, 1, 1, 1, 0, 1): count=512, weight=2.880000e+02
  (0, 0, 1, 1, 1, 1): count=512, weight=2.880000e+02
  (1, 0, 1, 0, 1, 1): count=512, weight=2.880000e+02
  (1, 1, 1, 0, 0, 1): count=512, weight=2.880000e+02
  (1, 1, 0, 0, 0, 0): count=512, weight=2.880000e+02
  (1, 0, 0, 0, 1, 0): count=512, weight=2.880000e+02
  (1, 0, 1, 0, 0, 0): count=512, weight=2.880000e+02
  (1, 1, 1, 0, 1, 0): count=512, weight=2.880000e+02
  (1, 1, 0, 0, 1, 1): count=512, weight=2.880000e+02
  (1, 0, 0, 0, 0, 1): count=512, weight=2.880000e+02
  (0, 0, 0, 1, 0, 1): count=512, weight=2.880000e+02
  (0, 1, 0, 1, 1, 1): count=512, weight=2.880000e+02
  (0, 1, 1, 1, 1, 0): count=512, weight=2.880000e+02
  (0, 0, 1, 1, 0, 0): count=512, weight=2.880000e+02
  (0, 0, 0, 1, 0, 0): count=1024, weight=4.480000e+02
  (0, 1, 0, 1, 1, 0): count=1024, weight=4.480000e+02
  (0, 1, 1, 1, 1, 1): count=1024, weight=4.480000e+02
  (0, 0, 1, 1, 0, 1): count=1024, weight=4.480000e+02
  (1, 0, 1, 0, 0, 1): count=1024, weight=4.480000e+02
  (1, 1, 1, 0, 1, 1): count=1024, weight=4.480000e+02
  (1, 1, 0, 0, 1, 0): count=1024, weight=4.480000e+02
  (1, 0, 0, 0, 0, 0): count=1024, weight=4.480000e+02
  (1, 0, 1, 1, 0, 0): count=512, weight=9.600000e+01
  (1, 1, 1, 1, 1, 0): count=512, weight=9.600000e+01
  (1, 1, 0, 1, 1, 1): count=512, weight=9.600000e+01
  (1, 0, 0, 1, 0, 1): count=512, weight=9.600000e+01
  (0, 0, 0, 0, 0, 1): count=512, weight=9.600000e+01
  (0, 1, 0, 0, 1, 1): count=512, weight=9.600000e+01
  (0, 1, 1, 0, 1, 0): count=512, weight=9.600000e+01
  (0, 0, 1, 0, 0, 0): count=512, weight=9.600000e+01
  (0, 0, 1, 1, 1, 0): count=512, weight=2.880000e+02
  (0, 1, 1, 1, 0, 0): count=512, weight=2.880000e+02
  (0, 1, 0, 1, 0, 1): count=512, weight=2.880000e+02
  (0, 0, 0, 1, 1, 1): count=512, weight=2.880000e+02
  (1, 0, 0, 0, 1, 1): count=512, weight=2.880000e+02
  (1, 1, 0, 0, 0, 1): count=512, weight=2.880000e+02
  (1, 1, 1, 0, 0, 0): count=512, weight=2.880000e+02
  (1, 0, 1, 0, 1, 0): count=512, weight=2.880000e+02
  (1, 0, 0, 1, 1, 0): count=512, weight=9.600000e+01
  (1, 1, 0, 1, 0, 0): count=512, weight=9.600000e+01
  (1, 1, 1, 1, 0, 1): count=512, weight=9.600000e+01
  (1, 0, 1, 1, 1, 1): count=512, weight=9.600000e+01
  (0, 0, 1, 0, 1, 1): count=512, weight=9.600000e+01
  (0, 1, 1, 0, 0, 1): count=512, weight=9.600000e+01
  (0, 1, 0, 0, 0, 0): count=512, weight=9.600000e+01
  (0, 0, 0, 0, 1, 0): count=512, weight=9.600000e+01
time: 3.3857s
